<strong>Title</strong>,<strong>City Published</strong>,<strong>Country</strong>,<strong>Publisher</strong>,<strong>Date</strong>,<strong>Translation</strong>,<strong>Country Context</strong>,Transcr.,Translator,Digitised,Notes
Lo spirito delle leggi,Naples,Italian States,Simone,1750,Italian,Italian States,Y,"<a target=""_blank"" rel=""noopener noreferrer"" href=""https://www.finarte.it/asta/libri-autografi-e-stampe-roma-2024-07-04/charles-louis-de-secondat-montesquieu-spirito-delle-leggi-con-le-note-dell-abate-antonio-genovesi-124811"">Giuseppe Maria Mecatti</a>","Tome 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://www.byterfly.eu/islandora/object/libria:144126#mode/2up""> byterfly.eu</a><br>Tome 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://www.google.de/books/edition/Dello_spirito_delle_leggi_ovvero_del_rap/vgrw6Adf0oIC?hl=en&gbpv=1&dq=spirito+delle+leggi&printsec=frontcover"">  Google Books</a>","<a target=""_blank"" rel=""noopener noreferrer"" href=""https://www.finarte.it/asta/libri-autografi-e-stampe-roma-2024-07-04/charles-louis-de-secondat-montesquieu-spirito-delle-leggi-con-le-note-dell-abate-antonio-genovesi-124811"" title=""Finarte lot: notes on earlier Mecatti translation"">Earliest Italian translation</a>, begun by Giuseppe Maria Mecatti in Naples, partial and censored, printed by Giovanni di Simone."
De l'esprit des lois,Edinburgh,Scotland,Hamilton and Balfour,1750,French,Great Britain,,,"Vol. 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_de-lesprit-des-loix-_montesquieu-charles-de-_1750_1"">Internet Archive</a><br>Vol. 2.<a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_de-lesprit-des-loix-_montesquieu-charles-de-_1750_2"">Internet Archive</a>","<a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">The Scottish edition</a>, in two volumes in-8°, dated 1750, will be published in November 1749, David Hume and a certain Mr. Alexandre having played the role of intermediaries between Montesquieu and the Hamilton publishing house and Balfour of Edinburgh."
De l'esprit des lois,Paris,France,Barrillot and Fils [Huart and Moreau],1750,French,France,Y,,"Tome 2 <a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.google.fr/books?id=cGNeAAAAcAAJ"">Google Books</a><br>Tome 3 <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/delespritdesloix03mont"">Internet Archive</a>","New corrections to Huart for a <a target=""_blank"" rel=""noopener noreferrer"" href=""https://books.openedition.org/pur/38663?lang=en"">1750 edition</a> in three volumes in-12 (published under the false address of Barrillot or Nourse). Montesquieu alludes to this in a letter dated April 8, 1750 addressed to Grosley: the most exact edition is the last edition printed in 3 vols. in-12, in Paris, at Huart, bookseller, rue Saint-Jacques, near Fontaine Saint-Séverin""."
The Spirit of the Laws,Dublin,Ireland,"Dublin: G. and A. Ewing, and Faulkner",1751,English,Ireland,,,"Vol. 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1751_1""> Internet Archive.</a><br>Vol. 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1751_2"">Internet Archive</a>",
De l'esprit des lois,Paris,France,Barrillot and Fils [Huart],1751,French,France,,,,
De l'esprit des lois,Paris,France,Barrillot and Fils [Huart],1751,French,France,,,,
The Spirit of the Laws,London,England,Nourse and Vaillant,1752,English,Great Britain,,"<a target=""_blank"" rel=""noopener noreferrer"" href=""https://en.wikipedia.org/wiki/Thomas_Nugent_(travel_writer)"">Thomas Nugent (1700–1772)</a>","Vol. 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1752_1"">Internet Archive</a><br>Vol. 2.<a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-tran_montesquieu-charles-de-_1752_2"">Internet Archive</a>",
Vom Geist der Gesetze,Leipzig,German States,S.N.,1753,German,German States,Y,"Translated by <a target=""_blank"" rel=""noopener noreferrer"" href=""https://www.zvab.com/buch-suchen/titel/werk-von-den-gesetzen/autor/montesquieu/"">Abraham Gotthelf Kästner</a>","<a target=""_blank"" rel=""noopener noreferrer"" href=""https://www.google.de/books/edition/Von_den_Gesetzen/COGUWb3c-JAC?hl=en&gbpv=1&dq=Vom+Geist+der+Gesetze&printsec=frontcover"">Google Books</a>",
Vom Geist der Gesetze,Frankfurt,German States,S.N.,1753,German,German States,Y,"Translated by <a target=""_blank"" rel=""noopener noreferrer"" href=""https://www.zvab.com/buch-suchen/titel/werk-von-den-gesetzen/autor/montesquieu/"">Abraham Gotthelf Kästner</a>","<a target=""_blank"" rel=""noopener noreferrer"" href=""https://www.google.de/books/edition/Von_den_Gesetzen/COGUWb3c-JAC?hl=en&gbpv=1&dq=Vom+Geist+der+Gesetze&printsec=frontcover"">Google Books</a>",
De l'esprit des lois,Geneva,Geneva City State,Barrillot and Fils,1753,French,Swiss States and Associates,,,,
De l'esprit des lois,Amsterdam,United Provinces,La Compagnie,1755,French,United Provinces,,,,
De l'esprit des lois,Amsterdam,United Provinces,La Compagnie,1755,French,United Provinces,,,,
The Spirit of the Laws.,Aberdeen,Scotland,Douglass and Murray,1756,English,Great Britain,,,"Vol. 1. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-writ_montesquieu-charles-de-_1756_1"">Internet Archive</a><br>Vol. 2. <a target=""_blank"" rel=""noopener noreferrer"" href=""https://archive.org/details/bim_eighteenth-century_the-spirit-of-laws-writ_montesquieu-charles-de-_1756_2"">Internet Archive</a>",
